Size (μm),Volume (%)
0.01,0
0.0114,0
0.0129,0
0.0147,0
0.0167,0
0.0189,0
0.0215,0
0.0244,0
0.0278,0
0.0315,0
0.0358,0
0.0407,0
0.0463,0
0.0526,0
0.0597,0
0.0679,0
0.0771,0
0.0876,0
0.0995,0
0.113,0
0.128,0
0.146,0
0.166,0
0.188,0
0.214,0
0.243,0
0.276,0
0.314,0.07
0.357,0.25
0.405,0.45
0.46,0.59
0.523,0.66
0.594,0.74
0.675,0.94
0.767,1.32
0.872,1.83
0.991,2.38
1.13,2.92
1.28,3.46
1.45,3.97
1.65,4.45
1.88,4.92
2.13,5.38
2.42,5.83
2.75,6.25
3.12,6.59
3.55,6.81
4.03,6.83
4.58,6.61
5.21,6.12
5.92,5.4
6.72,4.51
7.64,3.54
8.68,2.61
9.86,1.78
11.2,1.12
12.7,0.64
14.5,0.33
16.4,0.17
18.7,0.12
21.2,0.11
24.1,0.12
27.4,0.11
31.1,0.08
35.3,0
40.1,0
45.6,0
51.8,0
58.9,0
66.9,0
76,0
86.4,0
98.1,0
111,0
127,0
144,0
163,0
186,0
211,0
240,0
272,0
310,0
352,0
400,0
454,0
516,0
586,0
666,0
756,0
859,0
976,0
1110,0
1260,0
1430,0
1630,0
1850,0
2100,0
2390,0
2710,0
3080,0
3500,
