Size (μm),Volume (%)
0.01,0
0.0114,0
0.0129,0
0.0147,0
0.0167,0
0.0189,0
0.0215,0
0.0244,0
0.0278,0
0.0315,0
0.0358,0
0.0407,0
0.0463,0
0.0526,0
0.0597,0
0.0679,0
0.0771,0
0.0876,0
0.0995,0
0.113,0
0.128,0
0.146,0.2
0.166,0.54
0.188,0.99
0.214,1.42
0.243,1.69
0.276,1.73
0.314,1.49
0.357,0.96
0.405,0.37
0.46,0
0.523,0
0.594,0
0.675,0
0.767,0
0.872,0
0.991,0.55
1.13,1.61
1.28,3.05
1.45,4.65
1.65,6.14
1.88,7.35
2.13,8.15
2.42,8.49
2.75,8.4
3.12,7.97
3.55,7.3
4.03,6.47
4.58,5.55
5.21,4.59
5.92,3.62
6.72,2.69
7.64,1.85
8.68,1.16
9.86,0.64
11.2,0.29
12.7,0.1
14.5,0
16.4,0
18.7,0
21.2,0
24.1,0
27.4,0
31.1,0
35.3,0
40.1,0
45.6,0
51.8,0
58.9,0
66.9,0
76,0
86.4,0
98.1,0
111,0
127,0
144,0
163,0
186,0
211,0
240,0
272,0
310,0
352,0
400,0
454,0
516,0
586,0
666,0
756,0
859,0
976,0
1110,0
1260,0
1430,0
1630,0
1850,0
2100,0
2390,0
2710,0
3080,0
3500,
