Size (μm),Volume (%)
0.01,0
0.0114,0
0.0129,0
0.0147,0
0.0167,0
0.0189,0
0.0215,0
0.0244,0
0.0278,0
0.0315,0
0.0358,0
0.0407,0
0.0463,0
0.0526,0
0.0597,0
0.0679,0
0.0771,0
0.0876,0
0.0995,0
0.113,0
0.128,0
0.146,0.27
0.166,0.85
0.188,1.65
0.214,2.45
0.243,3.02
0.276,3.19
0.314,2.84
0.357,1.93
0.405,0.85
0.46,0.1
0.523,0
0.594,0
0.675,0
0.767,0
0.872,0.71
0.991,2.58
1.13,5.14
1.28,7.86
1.45,10.16
1.65,11.52
1.88,11.72
2.13,10.77
2.42,8.89
2.75,6.5
3.12,4.09
3.55,2.07
4.03,0.72
4.58,0.1
5.21,0
5.92,0
6.72,0
7.64,0
8.68,0
9.86,0
11.2,0
12.7,0
14.5,0
16.4,0
18.7,0
21.2,0
24.1,0
27.4,0
31.1,0
35.3,0
40.1,0
45.6,0
51.8,0
58.9,0
66.9,0
76,0
86.4,0
98.1,0
111,0
127,0
144,0
163,0
186,0
211,0
240,0
272,0
310,0
352,0
400,0
454,0
516,0
586,0
666,0
756,0
859,0
976,0
1110,0
1260,0
1430,0
1630,0
1850,0
2100,0
2390,0
2710,0
3080,0
3500,
